date,week,month,month_name,weekday,is_weekend,price_source,buy_mean_EUR_kWh,buy_max_EUR_kWh,v2g_max_EUR_kWh,A_cost_EUR,A_charge_EUR,C_cost_EUR,C_v2g_rev_EUR,C_charge_EUR,C_deg_EUR,C_v2g_kwh,C_saving_EUR,D_cost_EUR,D_v2g_rev_EUR,D_v2g_kwh,D_saving_EUR
2025-01-01,1,1,Jan,2,0,ML FORECAST 2025-01-01,0.014886858299258074,0.038504325979692944,0.17050432597969295,4.28612694565276,1.0187356413049322,1.0441241224182232,5.676687543898199,1.2058605504642066,5.514951115852215,34.34312941322419,3.242002823234537,1.2482216338167405,5.36158547044199,32.437596882544455,3.0379053118360195
2025-01-02,1,1,Jan,3,0,ML FORECAST 2025-01-02,0.03356271727018977,0.06433465853600685,0.19633465853600685,5.831112519571477,2.5637212152236493,3.036710418264274,6.445330490726793,3.967089793138853,5.514951115852215,34.34312941322419,2.7944021013072025,3.525694925057673,5.8548180808957415,31.231085621282936,2.305417594513804
2025-01-03,1,1,Jan,4,0,ML FORECAST 2025-01-03,0.04614593674122663,0.07600494399323326,0.20800494399323327,7.51983212586501,4.252440821517182,4.203274591910752,6.78023970348246,5.468563179540997,5.514951115852215,34.34312941322419,3.316557533954258,4.488094458299315,6.3821629533619095,32.43759688254445,3.031737667565695
2025-01-04,1,1,Jan,5,1,ML FORECAST 2025-01-04,0.043673989711812446,0.07338850345875805,0.20538850345875806,7.903123199026019,4.635731894678191,4.893158078170245,6.598638280342035,5.976845242660065,5.514951115852215,34.34312941322419,3.0099651208557736,5.341974758182985,5.979434481676339,31.56409020253615,2.5611484408430334
2025-01-05,1,1,Jan,6,1,ML FORECAST 2025-01-05,0.055009091293196234,0.07932872041867635,0.21132872041867634,8.800484414307363,5.533093109959535,6.093724287496443,6.779385956693947,7.358159128338174,5.514951115852215,34.34312941322419,2.70676012681092,6.663425299143977,5.982428839804912,30.62089292554701,2.1370591151633853
2025-01-06,2,1,Jan,0,0,ML FORECAST 2025-01-06,0.06872914187381296,0.09206656219324466,0.22156461847514275,9.7536068939243,6.486215589576471,6.566226859345685,7.4847309056302365,8.536006649123706,5.514951115852215,34.34312941322419,3.1873800345786147,6.958098637845076,6.836316456368756,31.56409020253615,2.7955082560792235
2025-01-07,2,1,Jan,1,0,ML FORECAST 2025-01-07,0.06524810760927209,0.08978731549258138,0.2150872860463059,9.374708877794582,6.107317573446755,6.339147986998052,7.2844476226955255,8.108644493841362,5.514951115852215,34.34312941322418,3.03556089079653,6.640833235798584,6.612253442537933,31.163669896015886,2.733875641995998
2025-01-08,2,1,Jan,2,0,ML FORECAST 2025-01-08,0.06164025131797362,0.08438496032302163,0.21489715307691687,9.046670139223913,5.779278834876086,5.753419837341118,7.284137359242047,7.5226060807309505,5.514951115852215,34.34312941322418,3.2932503018827948,6.059589845356341,6.686422974964995,31.56409020253615,2.987080293867572
2025-01-09,2,1,Jan,3,0,ML FORECAST 2025-01-09,0.06709459321812584,0.09406503169802927,0.22606503169802927,9.695380499193373,6.427989194845544,6.492803243286257,7.56864494981531,8.546497077249352,5.514951115852215,34.34312941322419,3.2025772559071157,6.666468100986268,7.141058341675688,32.43759688254445,3.0289123982071047
2025-01-10,2,1,Jan,4,0,ML FORECAST 2025-01-10,0.06545162680607643,0.08977033627742274,0.21982683906232947,9.573988237535097,6.306596933187269,6.070826442528038,7.418003593332992,7.973878920008815,5.514951115852215,34.34312941322419,3.5031617950070597,6.378117862942348,6.810170291187626,31.56409020253615,3.195870374592749
2025-01-11,2,1,Jan,5,1,ML FORECAST 2025-01-11,0.06680234092155644,0.09649669685874879,0.2284966968587488,9.898164615753991,6.630773311406164,7.027734245133258,7.648196343034257,9.1609794723153,5.514951115852215,34.34312941322419,2.870430370620733,7.304774587995735,7.017052961644839,31.56409020253615,2.5933900277582564
2025-01-12,2,1,Jan,6,1,ML FORECAST 2025-01-12,0.05787716727716493,0.07266703379374656,0.20466703379374657,9.534175857085392,6.2667845527375645,6.452102180993537,6.5769297214402656,7.514080786581589,5.514951115852213,34.34312941322419,3.0820736760918557,6.647884887078293,6.173738145254999,32.43759688254445,2.8862909700070993
2025-01-13,3,1,Jan,0,0,ML FORECAST 2025-01-13,0.06729606958322824,0.09210333680999445,0.22049480840852642,9.617756887255329,6.350365582907502,6.462936694048435,7.440188487512983,8.388174065709205,5.514951115852214,34.34312941322418,3.154820193206894,6.727007792515156,6.740375718045016,31.163669896015882,2.8907490947401726
2025-01-14,3,1,Jan,1,0,ML FORECAST 2025-01-14,0.07037380452893886,0.0947257866473012,0.2267257866473012,9.953918938132578,6.686527633784749,6.8382397593709285,7.598766230420248,8.922054873938961,5.514951115852215,34.34312941322418,3.115679178761649,7.1243879839753586,6.915430374053244,31.564090202536146,2.829530954157219
2025-01-15,3,1,Jan,2,0,ML FORECAST 2025-01-15,0.07612519743311603,0.10204339589775946,0.23404339589775947,10.75302089013016,7.4856295857823305,7.977389837337401,7.7670304550413105,10.229469176526496,5.514951115852215,34.34312941322419,2.7756310527927583,8.649617313614767,6.816020480935396,30.140822660062824,2.103403576515392
2025-01-16,3,1,Jan,3,0,ML FORECAST 2025-01-16,0.10495768905274568,0.14778374785052145,0.27978374785052146,13.495383971003626,10.2279926666558,10.303698587514315,9.306577489756606,14.095324961418706,5.514951115852215,34.34312941322419,3.191685383489311,10.638022010205635,8.45345554911271,31.163669896015882,2.8573619607979914
2025-01-17,3,1,Jan,4,0,ML FORECAST 2025-01-17,0.12715903045703636,0.15418101328018016,0.2861810132801802,15.991450703188484,12.724059398840657,12.995018517041878,9.630280950493969,17.110348351683633,5.514951115852215,34.34312941322419,2.996432186146606,13.120106948144464,8.832166720605187,31.56409020253615,2.8713437550440197
2025-01-18,3,1,Jan,5,1,ML FORECAST 2025-01-18,0.10600679381562439,0.12563965028338306,0.2576396502833831,14.664402335891175,11.397011031543348,11.9224588563755,8.582329143234745,14.989836883758027,5.514951115852215,34.34312941322419,2.741943479515676,10.321790283449534,9.081960981873607,36.48011500680512,4.342612052441641
2025-01-19,3,1,Jan,6,1,ML FORECAST 2025-01-19,0.10165628798575525,0.1281867547680925,0.2601867547680925,14.0498788544773,10.782487550129472,11.610618938661052,8.449727626097886,14.545395448906724,5.514951115852215,34.34312941322419,2.4392599158162476,11.631051457544467,7.967705029205556,32.43759688254445,2.4188273969328318
2025-01-20,4,1,Jan,0,0,ML FORECAST 2025-01-20,0.11616306689601745,0.1436285453711587,0.2756285453711587,14.84909639408382,11.581705089735992,12.007803312395733,9.194783303386803,15.68763549993032,5.514951115852215,34.34312941322419,2.841293081688086,12.615905539342295,8.248842479104239,31.011018749150246,2.2331908547415242
2025-01-21,4,1,Jan,1,0,ML FORECAST 2025-01-21,0.14778715465532555,0.21363855575364735,0.3456385557536473,17.688277165747305,14.420885861399476,15.69429924184857,9.47322205551209,19.927208325532494,5.240312971828168,30.1466078017649,1.9939779238987345,16.17312771659642,8.33312376014441,26.24862808226152,1.5151494491508863
2025-01-22,4,1,Jan,2,0,ML FORECAST 2025-01-22,0.17628987472189925,0.21202684194984162,0.3440268419498416,21.30285173032531,18.035460425977483,18.151736008700567,11.354202407363255,23.990987300211607,5.514951115852215,34.34312941322419,3.1511157216247447,18.674435259755164,10.112846881566227,30.824754148577128,2.628416470570148
2025-01-23,4,1,Jan,3,0,ML FORECAST 2025-01-23,0.17089796564675652,0.2069713872413429,0.33196344733114325,20.665216762801563,17.397825458453735,16.987451145985524,11.19064216854565,22.663142198678962,5.514951115852215,34.34312941322419,3.677765616816039,17.38776160408596,10.104182196926189,30.980115006805118,3.277455158715604
2025-01-24,4,1,Jan,4,0,ML FORECAST 2025-01-24,0.1381282422919796,0.1726168501928049,0.29242725281537274,17.23860808350879,13.971216779160962,13.90187399901275,9.888836734556222,18.275759617716755,5.514951115852215,34.34312941322419,3.3367340844960403,14.177275043549706,8.979238809328965,31.163669896015886,3.0613330399590843
2025-01-25,4,1,Jan,5,1,ML FORECAST 2025-01-25,0.10502782036799312,0.12296099805103335,0.25496099805103334,14.44613801121498,11.178746706867152,11.857299779681455,8.532427395165996,14.874776058995236,5.514951115852213,34.34312941322419,2.5888382315335257,10.221345830439013,9.047252368937954,36.66366989601589,4.224792180775967
2025-01-26,4,1,Jan,6,1,ML FORECAST 2025-01-26,0.09249539976761223,0.11404642797076801,0.24604642797076803,13.129748606811471,9.862357302463643,10.650478300349581,8.052814067054358,13.188341251551725,5.514951115852213,34.34312941322418,2.47927030646189,10.92564094243826,7.331686166087885,31.211373298824796,2.204107664373211
2025-01-27,5,1,Jan,0,0,ML FORECAST 2025-01-27,0.10499896372800861,0.13616822883784768,0.2681682288378477,13.483112526438774,10.215721222090947,10.801229180844373,8.805561316724756,14.091839381716913,5.514951115852215,34.34312941322419,2.6818833455944002,11.07318849474904,8.014303419429073,31.231085621282936,2.4099240316897337
2025-01-28,5,1,Jan,1,0,ML FORECAST 2025-01-28,0.10085828681895892,0.12979977742836502,0.261799777428365,13.370258228672295,10.102866924324466,10.48901063234861,8.63398576629708,13.608045282793473,5.514951115852215,34.34312941322419,2.8812475963236857,10.655267198203816,8.145569761575715,32.43759688254445,2.714991030468479
2025-01-29,5,1,Jan,2,0,ML FORECAST 2025-01-29,0.10984818519919211,0.1361660916593549,0.26803762622225347,14.08104130468302,10.81365000033519,11.184148535293199,9.017018378444325,14.686215797885309,5.514951115852215,34.34312941322419,2.8968927693898205,11.502455770879443,8.093864456449055,31.142172111680846,2.578585533803576
2025-01-30,5,1,Jan,3,0,ML FORECAST 2025-01-30,0.1081757993120182,0.13293727007150247,0.2623029020405806,14.165984002555227,10.8985926982074,11.195052028200015,8.853406868096572,14.533507780444374,5.514951115852215,34.34312941322419,2.970931974355212,11.643441986489151,7.9364118936215755,31.01101874915024,2.522542016066076
2025-01-31,5,1,Jan,4,0,ML FORECAST 2025-01-31,0.10761643191027642,0.13298673322008617,0.26062826451203247,14.157087521736095,10.889696217388268,11.264290454899935,8.698946759298089,14.448286098345811,5.514951115852215,34.34312941322419,2.8927970668361596,11.663840434060447,7.935031826514066,31.56409020253615,2.4932470876756483
2025-02-01,5,2,Feb,5,1,ML FORECAST 2025-02-01,0.09530923377068024,0.1287027234972578,0.2607027234972578,13.395488901958206,10.12809759761038,10.67646798089967,6.948195693606756,12.38435070267826,5.240312971828166,30.1466078017649,2.7190209210585365,11.137392677165597,5.210106817294545,22.615711308990118,2.2580962247926095
2025-02-02,5,2,Feb,6,1,ML FORECAST 2025-02-02,0.10348275413723358,0.1403107427955366,0.2723107427955366,14.189672852140426,10.922281547792597,11.787224052787476,7.144313088593535,13.691224169552845,5.240312971828166,30.1466078017649,2.4024487993529497,12.342576171983765,6.134021338006065,26.08136921138024,1.8470966801566604
2025-02-03,6,2,Feb,0,0,ML FORECAST 2025-02-03,0.1246800243324857,0.1568832393519183,0.2888832393519183,15.855791968616217,12.588400664268388,13.768998389453458,9.081060336826361,17.335107610427606,5.514951115852215,34.34312941322419,2.0867935791627588,14.06935291545354,8.301454111993129,31.33821488590965,1.7864390531626757
